Index,Date_P##,Power1,Power2,Wizards,War,Jet,Astro,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,Pediatric,Single1,Single2,Five,Thirty,BC10,BC11,BC12,BC13,BC14,BC15,BC16,BC17,BC18
,,Power1 - R,Power2 - L,Wizards,War,Jet,Astro,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,Pediatric,Single1,Single2,Five ,Thirty,,,,,,,,,
MA Distance Between,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,
MA Index 3rd Peak,,739,692,790,596,673,543,470,690,700,480,621,914,80,646,434,,,,,,,,,,,,,,
,,Power1 - R,Power2 - L,Wizards,War,Jet,Astro,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,Pediatric,Single1,Single2,Five ,Thirty,,,,,,,,,
OP Peak Threshold,0404_P10,-20,-20,-10,-10,-15,-10,-10,-10,-10,0,-10,-10,-10,-10,-10,,,,,,,,,,,,,,
OP Distance Between,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,
OP Index 3rd Peak,,62,82,163,284,304,145,182,158,218,143,212,118,105,104,155,,,,,,,,,,,,,,
OP End Frame,,800,800,2000,3000,2000,1900,1500,1750,1700,1400,1550,1400,1700,700,2300,,,,,,,,,,,,,,
MA Peak Threshold,,20,10,20,20,20,20,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,,,
MA Distance Between,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,
MA Index 3rd Peak,,627,1033,833,873,699,938,982,718,706,686,983,792,679,685,703,,,,,,,,,,,,,,
,,Power1 - R,Power2 - L,Wizards,War,Jet,Astro,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,Pediatric,Single1,Single2,Five ,Thirty,,,,,,,,,
OP Peak Threshold,0404_P11,-10,10,-5,-5,-5,0,0,-10,0,-5,0,-5,-15,0,-5,,,,,,,,,,,,,,
OP Distance Between,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,
OP Index 3rd Peak,,61,92,171,730,296,155,150,169,137,270,131,275,175,143,155,,,,,,,,,,,,,,
OP End Frame,,1200,800,3000,3000,2000,1900,2300,1500,2000,2000,1500,1900,2000,1200,1500,,,,,,,,,,,,,,
MA Peak Threshold,,25,50,30,30,30,30,30,30,40,30,30,30,30,30,30,,,,,,,,,,,,,,
MA Distance Between,,10,10,10,100,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,,,,
MA Index 3rd Peak,,726,1038,399,3954,810,702,926,916,622,620,802,670,568,400,850,,,,,,,,,,,,,,
,,Power1 - R,Power2 - L,Wizards,War,Jet,Astro,BC1,BC2,BC3,BC4,BC5,BC6,BC7,BC8,BC9,Pediatric,Single1,Single2,Five ,Thirty,,,,,,,,,
